Model Type,Test Accuracy,Prune Percentage
DET,0.8085399866104126,0.25
DET,0.7759600281715393,0.5
DET,0.2987000048160553,0.75
DET,0.0034600000362843275,0.85
DET,0.00107999995816499,0.9
DET,0.0014600000577047467,0.95
DET,0.0010000000474974513,0.975
DET,0.0009800000116229057,0.99
VDP,0.6907397508621216,0.25
VDP,0.6907397508621216,0.5
VDP,0.6907397508621216,0.75
VDP,0.6907397508621216,0.85
VDP,0.6907397508621216,0.9
VDP,0.04142473265528679,0.95
VDP,0.011701051145792007,0.975
VDP,0.007229346316307783,0.99

