Model Type,KF,Percentage of Parameters Pruned,Test Accuracy
DET,0,0,0.9874
DET,0,25,0.987
DET,0,50,0.9749
DET,0,75,0.8964
DET,0,90,0.4993
DET,0,95,0.163
DET,0,96,0.1812
DET,0,97,0.1106
DET,0,98,0.0982
DET,1,0,0.9859
DET,1,25,0.9857
DET,1,50,0.9793
DET,1,75,0.928
DET,1,90,0.3086
DET,1,95,0.0965
DET,1,96,0.1351
DET,1,97,0.1272
DET,1,98,0.1218
DET,2,0,0.989
DET,2,25,0.9888
DET,2,50,0.9866
DET,2,75,0.8898
DET,2,90,0.3002
DET,2,95,0.2508
DET,2,96,0.2258
DET,2,97,0.1492
DET,2,98,0.1311
DET,3,0,0.9883
DET,3,25,0.9888
DET,3,50,0.9843
DET,3,75,0.7482
DET,3,90,0.3197
DET,3,95,0.1935
DET,3,96,0.1363
DET,3,97,0.115
DET,3,98,0.1179
DET,4,0,0.9877
DET,4,25,0.9875
DET,4,50,0.9841
DET,4,75,0.9096
DET,4,90,0.4123
DET,4,95,0.2318
DET,4,96,0.1268
DET,4,97,0.0973
DET,4,98,0.1699
BBB,0,0,0.9815
BBB,0,25,0.9825
BBB,0,50,0.9763
BBB,0,75,0.9431
BBB,0,90,0.614
BBB,0,95,0.2699
BBB,0,96,0.1788
BBB,0,97,0.1585
BBB,0,98,0.1484
BBB,1,0,0.9835
BBB,1,25,0.982
BBB,1,50,0.9789
BBB,1,75,0.9165
BBB,1,90,0.551
BBB,1,95,0.2422
BBB,1,96,0.1936
BBB,1,97,0.1318
BBB,1,98,0.0957
BBB,2,0,0.9819
BBB,2,25,0.9818
BBB,2,50,0.9706
BBB,2,75,0.9264
BBB,2,90,0.4803
BBB,2,95,0.1926
BBB,2,96,0.1825
BBB,2,97,0.1523
BBB,2,98,0.112
BBB,3,0,0.9825
BBB,3,25,0.9822
BBB,3,50,0.978
BBB,3,75,0.954
BBB,3,90,0.8019
BBB,3,95,0.5408
BBB,3,96,0.3542
BBB,3,97,0.2509
BBB,3,98,0.1647
BBB,4,0,0.9819
BBB,4,25,0.9806
BBB,4,50,0.9759
BBB,4,75,0.8137
BBB,4,90,0.3587
BBB,4,95,0.2686
BBB,4,96,0.2362
BBB,4,97,0.2369
BBB,4,98,0.1787
VDP_Cov,0,0,0.9869
VDP_Cov,0,25,0.9869
VDP_Cov,0,50,0.9872
VDP_Cov,0,75,0.987
VDP_Cov,0,90,0.9355
VDP_Cov,0,95,0.4876
VDP_Cov,0,96,0.3277
VDP_Cov,0,97,0.2217
VDP_Cov,0,98,0.2315
VDP_Cov,1,0,0.9877
VDP_Cov,1,25,0.9877
VDP_Cov,1,50,0.9877
VDP_Cov,1,75,0.9865
VDP_Cov,1,90,0.9418
VDP_Cov,1,95,0.5479
VDP_Cov,1,96,0.4913
VDP_Cov,1,97,0.2791
VDP_Cov,1,98,0.2215
VDP_Cov,2,0,0.9866
VDP_Cov,2,25,0.9866
VDP_Cov,2,50,0.9868
VDP_Cov,2,75,0.9867
VDP_Cov,2,90,0.953
VDP_Cov,2,95,0.6329
VDP_Cov,2,96,0.4645
VDP_Cov,2,97,0.2797
VDP_Cov,2,98,0.1787
VDP_Cov,3,0,0.9881
VDP_Cov,3,25,0.9881
VDP_Cov,3,50,0.9881
VDP_Cov,3,75,0.9882
VDP_Cov,3,90,0.9544
VDP_Cov,3,95,0.635
VDP_Cov,3,96,0.554
VDP_Cov,3,97,0.4886
VDP_Cov,3,98,0.2776
VDP_Cov,4,0,0.9723
VDP_Cov,4,25,0.9724
VDP_Cov,4,50,0.975
VDP_Cov,4,75,0.9809
VDP_Cov,4,90,0.9025
VDP_Cov,4,95,0.5983
VDP_Cov,4,96,0.3924
VDP_Cov,4,97,0.2524
VDP_Cov,4,98,0.2029
VDP,0,0,0.9755
VDP,0,25,0.9755
VDP,0,50,0.9757
VDP,0,75,0.9764
VDP,0,90,0.9698
VDP,0,95,0.9228
VDP,0,96,0.8586
VDP,0,97,0.7043
VDP,0,98,0.5417
VDP,1,0,0.9774
VDP,1,25,0.9775
VDP,1,50,0.9779
VDP,1,75,0.9782
VDP,1,90,0.9755
VDP,1,95,0.938
VDP,1,96,0.8933
VDP,1,97,0.7389
VDP,1,98,0.5773
VDP,2,0,0.975
VDP,2,25,0.9749
VDP,2,50,0.975
VDP,2,75,0.9758
VDP,2,90,0.9694
VDP,2,95,0.9334
VDP,2,96,0.8774
VDP,2,97,0.6541
VDP,2,98,0.4688
VDP,3,0,0.9724
VDP,3,25,0.9724
VDP,3,50,0.9727
VDP,3,75,0.9743
VDP,3,90,0.9689
VDP,3,95,0.9278
VDP,3,96,0.8863
VDP,3,97,0.7626
VDP,3,98,0.5435
VDP,4,0,0.972
VDP,4,25,0.972
VDP,4,50,0.9719
VDP,4,75,0.9721
VDP,4,90,0.9634
VDP,4,95,0.9328
VDP,4,96,0.8899
VDP,4,97,0.7111
VDP,4,98,0.465
